,vana,zuvana,sAvana,duvana,Ruvana,vana,zuvana,vana,wOvana,aruvana,lvana,Luvana,lvana,Lvana,uvana,lvana,vana,Rpana,dpana,vana,Nuvana,kANuvana,pana,Rpana,ppana,ppana,pana,pana,uvana,Ruvana,uvana,uvana
,vana,zuvana,sAvana,duvana,Ruvana,vana,zuvana,vana,wOvana,aruvana,lvana,Luvana,lvana,Lvana,uvana,lvana,vana,Rpana,dpana,vana,Nuvana,kANuvana,pana,Rpana,ppana,ppana,pana,pana,uvana,Ruvana,uvana,uvana
,vAy,zuvAy,sAvAy,duvAy,RuvAy,vAy,zuvAy,vAy,wOvAy,aruvAy,lvAy,LuvAy,lvAy,LvAy,uvAy,lvAy,vAy,RpAy,dpAy,vAy,NuvAy,kANuvAy,pAy,RpAy,ppAy,ppAy,pAy,pAy,uvAy,RuvAy,uvAy,uvAy
,vIr,zuvIr,sAvIr,duvIr,RuvIr,vIr,zuvIr,vIr,wOvIr,aruvIr,lvIr,LuvIr,lvIr,LvIr,uvIr,lvIr,vIr,RpIr,dpIr,vIr,NuvIr,kANuvIr,pIr,RpIr,ppIr,ppIr,pIr,pIr,uvIr,RuvIr,uvIr,uvIr
,vIrkaL,zuvIrkaL,sAvIrkaL,duvIrkaL,RuvIrkaL,vIrkaL,zuvIrkaL,vIrkaL,wOvIrkaL,aruvIrkaL,lvIrkaL,LuvIrkaL,lvIrkaL,LvIrkaL,uvIrkaL,lvIrkaL,vIrkaL,RpIrkaL,dpIrkaL,vIrkaL,NuvIrkaL,kANuvIrkaL,pIrkaL,RpIrkaL,ppIrkaL,ppIrkaL,pIrkaL,pIrkaL,uvIrkaL,RuvIrkaL,uvIrkaL,uvIrkaL
,vEn,zuvEn,sAvEn,duvEn,RuvEn,vEn,zuvEn,vEn,wOvEn,aruvEn,lvEn,LuvEn,lvEn,LvEn,uvEn,lvEn,vEn,RpEn,dpEn,vEn,NuvEn,kANuvEn,pEn,RpEn,ppEn,ppEn,pEn,pEn,uvEn,RuvEn,uvEn,uvEn
,vOm,zuvOm,sAvOm,duvOm,RuvOm,vOm,zuvOm,vOm,wOvOm,aruvOm,lvOm,LuvOm,lvOm,LvOm,uvOm,lvOm,vOm,RpOm,dpOm,vOm,NuvOm,kANuvOm,pOm,RpOm,ppOm,ppOm,pOm,pOm,uvOm,RuvOm,uvOm,uvOm
,yum,zum,sAkum,dum,Rum,um,zum,yum,wOkum,arum,lum,Lum,llum,LLum,um,llum,kum,Rkum,dkum,um,Num,kANum,num,Rkum,kkum,kkum,um,um,um,Rum,um,um
,yum,zum,sAkum,dum,Rum,um,zum,yum,wOkum,arum,lum,Lum,llum,LLum,um,llum,kum,Rkum,dkum,um,Num,kANum,num,Rkum,kkum,kkum,um,um,um,Rum,um,um
,tha,zutha,seththa,dda,Ruka,wtha,zAtha,wtha,wOka,awtha,lwtha,Nda,lla,LLa,iya,nna,na,RRa,dda,da,da,kaNda,Ra,nRa,ththa,wtha,Ra,Ra,iya,Ra,ukiRa,uwtha
